X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-6,-6,44.869,44.97,45.062,45.241,45.449,45.627,45.853,46.095,46.256,45.164
-5.92,-6,44.961,45.062,45.153,45.332,45.539,45.715,45.941,46.181,46.343,45.12
-5.84,-6,45.055,45.155,45.245,45.422,45.628,45.804,46.028,46.268,46.429,45.076
-5.76,-6,45.148,45.247,45.337,45.513,45.718,45.892,46.116,46.355,46.515,45.031
-5.68,-6,45.241,45.34,45.429,45.604,45.808,45.981,46.204,46.442,46.602,44.985
-5.6,-6,45.335,45.433,45.521,45.695,45.897,46.07,46.292,46.529,46.688,44.938
-5.52,-6,45.428,45.526,45.613,45.787,45.987,46.159,46.38,46.616,46.775,44.89
-5.44,-6,45.522,45.62,45.706,45.878,46.078,46.248,46.468,46.703,46.861,44.842
-5.36,-6,45.616,45.713,45.798,45.969,46.168,46.337,46.556,46.79,46.947,44.793
-5.28,-6,45.71,45.806,45.891,46.061,46.258,46.426,46.644,46.877,47.034,44.743
-5.2,-6,45.805,45.9,45.984,46.152,46.348,46.515,46.732,46.964,47.12,44.692
-5.12,-6,45.899,45.994,46.077,46.244,46.438,46.604,46.82,47.051,47.207,44.641
-5.04,-6,45.993,46.087,46.169,46.336,46.528,46.693,46.907,47.138,47.293,44.589
-4.96,-6,46.088,46.181,46.262,46.427,46.619,46.782,46.995,47.224,47.379,44.537
-4.88,-6,46.182,46.275,46.355,46.519,46.709,46.871,47.083,47.311,47.465,44.484
-4.8,-6,46.277,46.369,46.448,46.611,46.799,46.96,47.171,47.398,47.551,44.43
-4.72,-6,46.371,46.462,46.541,46.702,46.889,47.049,47.258,47.484,47.637,44.377
-4.64,-6,46.466,46.556,46.634,46.794,46.979,47.138,47.346,47.57,47.722,44.322
-4.56,-6,46.56,46.65,46.727,46.885,47.069,47.226,47.433,47.656,47.808,44.268
-4.48,-6,46.655,46.744,46.819,46.977,47.159,47.315,47.52,47.742,47.893,44.213
-4.4,-6,46.749,46.837,46.912,47.068,47.248,47.403,47.607,47.828,47.978,44.158
-4.32,-6,46.844,46.931,47.005,47.159,47.338,47.491,47.693,47.913,48.063,44.103
-4.24,-6,46.938,47.024,47.097,47.25,47.427,47.579,47.78,47.998,48.147,44.048
-4.16,-6,47.032,47.118,47.189,47.341,47.516,47.666,47.866,48.083,48.231,43.992
-4.08,-6,47.126,47.211,47.281,47.431,47.605,47.754,47.952,48.168,48.315,43.937
-4,-6,47.22,47.304,47.373,47.522,47.693,47.841,48.037,48.252,48.398,43.881
-3.92,-6,47.314,47.397,47.465,47.612,47.782,47.928,48.123,48.336,48.481,43.826
-3.84,-6,47.407,47.49,47.557,47.702,47.87,48.014,48.208,48.419,48.564,43.77
-3.76,-6,47.501,47.582,47.648,47.792,47.957,48.1,48.292,48.502,48.646,43.714
-3.68,-6,47.594,47.674,47.739,47.881,48.045,48.186,48.376,48.585,48.728,43.659
-3.6,-6,47.687,47.766,47.829,47.97,48.132,48.271,48.46,48.667,48.809,43.604
-3.52,-6,47.779,47.858,47.92,48.059,48.218,48.356,48.543,48.749,48.89,43.549
-3.44,-6,47.871,47.949,48.01,48.147,48.304,48.441,48.626,48.83,48.97,43.494
-3.36,-6,47.963,48.04,48.099,48.235,48.39,48.525,48.708,48.91,49.05,43.439
-3.28,-6,48.055,48.13,48.189,48.322,48.476,48.608,48.79,48.991,49.129,43.385
-3.2,-6,48.146,48.22,48.278,48.409,48.56,48.691,48.871,49.07,49.207,43.331
-3.12,-6,48.237,48.31,48.366,48.496,48.645,48.774,48.951,49.149,49.285,43.277
-3.04,-6,48.327,48.399,48.454,48.582,48.728,48.856,49.031,49.227,49.362,43.224
-2.96,-6,48.417,48.488,48.541,48.667,48.812,48.937,49.111,49.304,49.438,43.171
-2.88,-6,48.506,48.577,48.628,48.752,48.894,49.017,49.189,49.381,49.514,43.118
-2.8,-6,48.595,48.664,48.715,48.837,48.976,49.097,49.267,49.457,49.589,43.065
-2.72,-6,48.683,48.752,48.8,48.921,49.058,49.177,49.344,49.532,49.663,43.013
-2.64,-6,48.771,48.838,48.886,49.004,49.138,49.255,49.421,49.607,49.736,42.961
-2.56,-6,48.858,48.925,48.97,49.086,49.218,49.333,49.496,49.681,49.809,42.917
-2.48,-6,48.945,49.01,49.054,49.168,49.298,49.411,49.571,49.754,49.881,42.878
-2.4,-6,49.031,49.095,49.137,49.25,49.376,49.487,49.646,49.826,49.951,42.839
-2.32,-6,49.116,49.179,49.22,49.33,49.454,49.563,49.719,49.897,50.021,42.798
-2.24,-6,49.2,49.262,49.302,49.41,49.531,49.637,49.791,49.967,50.09,42.756
-2.16,-6,49.284,49.345,49.383,49.489,49.607,49.711,49.863,50.036,50.158,42.714
-2.08,-6,49.367,49.427,49.463,49.567,49.682,49.784,49.933,50.104,50.225,42.671
-2,-6,49.45,49.508,49.543,49.644,49.757,49.857,50.003,50.172,50.291,42.627
-1.92,-6,49.531,49.589,49.621,49.721,49.831,49.928,50.072,50.238,50.356,42.582
-1.84,-6,49.612,49.668,49.699,49.796,49.903,49.998,50.139,50.304,50.42,42.536
-1.76,-6,49.692,49.747,49.776,49.871,49.975,50.067,50.206,50.368,50.483,42.489
-1.68,-6,49.77,49.825,49.852,49.945,50.046,50.136,50.272,50.431,50.544,42.442
-1.6,-6,49.848,49.901,49.927,50.018,50.116,50.203,50.337,50.493,50.605,42.394
-1.52,-6,49.925,49.977,50.001,50.089,50.185,50.27,50.4,50.554,50.664,42.345
-1.44,-6,50.002,50.052,50.075,50.16,50.252,50.335,50.463,50.614,50.723,42.288
-1.36,-6,50.077,50.126,50.147,50.23,50.319,50.399,50.524,50.673,50.78,42.226
-1.28,-6,50.151,50.199,50.218,50.299,50.385,50.462,50.585,50.731,50.836,42.163
-1.2,-6,50.224,50.271,50.288,50.367,50.45,50.525,50.644,50.787,50.891,42.102
-1.12,-6,50.296,50.342,50.357,50.434,50.513,50.586,50.702,50.843,50.945,42.047
-1.04,-6,50.366,50.412,50.425,50.499,50.576,50.646,50.759,50.897,50.997,41.99
-0.96,-6,50.436,50.48,50.492,50.564,50.637,50.704,50.815,50.95,51.048,41.932
-0.88,-6,50.505,50.548,50.557,50.627,50.697,50.762,50.87,51.002,51.099,41.873
-0.8,-6,50.572,50.614,50.622,50.69,50.756,50.818,50.923,51.052,51.147,41.812
-0.72,-6,50.638,50.68,50.685,50.751,50.814,50.874,50.975,51.102,51.195,41.749
-0.64,-6,50.703,50.744,50.747,50.811,50.871,50.928,51.026,51.15,51.241,41.685
-0.56,-6,50.767,50.806,50.808,50.869,50.926,50.981,51.076,51.197,51.287,41.619
-0.48,-6,50.83,50.868,50.868,50.927,50.981,51.032,51.125,51.243,51.33,41.551
-0.4,-6,50.891,50.928,50.926,50.983,51.034,51.083,51.172,51.287,51.373,41.481
-0.32,-6,50.951,50.987,50.983,51.038,51.085,51.132,51.219,51.331,51.415,41.409
-0.24,-6,51.01,51.045,51.039,51.092,51.136,51.18,51.264,51.373,51.455,41.335
-0.16,-6,51.067,51.102,51.093,51.144,51.185,51.227,51.307,51.413,51.494,41.259
-0.08,-6,51.123,51.157,51.147,51.195,51.233,51.272,51.35,51.453,51.531,41.181
0,-6,51.178,51.211,51.199,51.245,51.28,51.316,51.391,51.491,51.568,41.1
0.08,-6,51.034,51.061,51.039,51.074,51.092,51.139,51.2,51.286,51.354,41.028
0.16,-6,51.034,51.059,51.031,51.059,51.069,51.116,51.169,51.248,51.311,40.956
0.24,-6,51.053,51.076,51.044,51.068,51.071,51.117,51.164,51.236,51.294,41.015
0.32,-6,51.081,51.101,51.067,51.087,51.083,51.129,51.169,51.235,51.291,40.939
0.4,-6,51.112,51.132,51.094,51.111,51.101,51.145,51.18,51.242,51.294,40.861
0.48,-6,51.147,51.165,51.124,51.138,51.123,51.164,51.195,51.25,51.3,40.781
0.56,-6,51.187,51.199,51.155,51.166,51.145,51.185,51.21,51.263,51.309,40.699
0.64,-6,51.235,51.245,51.193,51.194,51.169,51.205,51.227,51.275,51.319,40.616
0.72,-6,51.281,51.29,51.235,51.231,51.193,51.227,51.244,51.288,51.328,40.531
0.8,-6,51.326,51.335,51.277,51.27,51.224,51.247,51.261,51.3,51.338,40.445
0.88,-6,51.372,51.378,51.317,51.307,51.257,51.271,51.277,51.312,51.347,40.358
0.96,-6,51.417,51.422,51.358,51.344,51.289,51.299,51.293,51.323,51.356,40.27
1.04,-6,51.466,51.467,51.397,51.38,51.319,51.325,51.316,51.335,51.364,40.181
1.12,-6,51.514,51.513,51.439,51.416,51.349,51.35,51.337,51.349,51.373,40.091
1.2,-6,51.535,51.558,51.481,51.452,51.379,51.375,51.356,51.365,51.382,40
1.28,-6,51.523,51.56,51.522,51.49,51.407,51.398,51.374,51.379,51.394,39.908
1.36,-6,51.531,51.555,51.512,51.526,51.437,51.421,51.392,51.392,51.405,39.815
1.44,-6,51.557,51.569,51.505,51.545,51.467,51.442,51.408,51.403,51.413,39.722
1.52,-6,51.583,51.594,51.52,51.529,51.496,51.466,51.424,51.414,51.421,39.627
1.6,-6,51.607,51.618,51.541,51.527,51.507,51.488,51.438,51.423,51.427,39.531
1.68,-6,51.629,51.64,51.561,51.545,51.488,51.51,51.455,51.432,51.432,39.435
1.76,-6,51.651,51.661,51.579,51.562,51.481,51.529,51.47,51.44,51.437,39.338
1.84,-6,51.671,51.681,51.596,51.577,51.492,51.504,51.485,51.447,51.441,39.241
1.92,-6,51.691,51.701,51.612,51.591,51.502,51.486,51.498,51.456,51.444,39.142
2,-6,51.709,51.719,51.627,51.605,51.511,51.491,51.489,51.463,51.447,39.043
2.08,-6,51.727,51.737,51.642,51.617,51.518,51.495,51.464,51.47,51.451,38.944
2.16,-6,51.744,51.753,51.656,51.629,51.525,51.499,51.452,51.475,51.453,38.844
2.24,-6,51.76,51.769,51.668,51.64,51.531,51.501,51.45,51.458,51.455,38.743
2.32,-6,51.776,51.785,51.681,51.65,51.536,51.503,51.448,51.429,51.456,38.642
2.4,-6,51.791,51.799,51.692,51.659,51.541,51.504,51.446,51.412,51.439,38.54
2.48,-6,51.805,51.814,51.703,51.668,51.545,51.504,51.442,51.404,51.406,38.438
2.56,-6,51.819,51.828,51.714,51.677,51.548,51.503,51.437,51.396,51.383,38.335
2.64,-6,51.833,51.841,51.724,51.685,51.551,51.503,51.432,51.387,51.372,38.233
2.72,-6,51.846,51.854,51.734,51.692,51.553,51.501,51.427,51.378,51.36,38.129
2.8,-6,51.859,51.867,51.744,51.7,51.555,51.5,51.421,51.368,51.348,38.026
2.88,-6,51.872,51.88,51.753,51.707,51.557,51.498,51.414,51.357,51.335,37.922
2.96,-6,51.885,51.892,51.762,51.715,51.558,51.495,51.408,51.346,51.322,37.818
3.04,-6,51.897,51.904,51.771,51.722,51.56,51.493,51.401,51.335,51.308,37.713
3.12,-6,51.91,51.917,51.781,51.729,51.561,51.49,51.394,51.324,51.294,37.609
3.2,-6,51.923,51.929,51.79,51.736,51.562,51.487,51.387,51.312,51.279,37.504
3.28,-6,51.935,51.941,51.8,51.743,51.564,51.485,51.38,51.3,51.265,37.399
3.36,-6,51.957,51.966,51.81,51.75,51.565,51.483,51.372,51.289,51.25,37.294
3.44,-6,51.981,51.991,51.821,51.758,51.567,51.48,51.365,51.277,51.236,37.188
3.52,-6,52.006,52.017,51.831,51.766,51.568,51.478,51.358,51.265,51.221,37.083
3.6,-6,52.03,52.043,51.842,51.775,51.571,51.476,51.351,51.253,51.206,36.977
3.68,-6,52.055,52.069,51.852,51.783,51.573,51.475,51.345,51.242,51.192,36.872
3.76,-6,52.081,52.096,51.873,51.792,51.577,51.473,51.339,51.231,51.178,36.766
3.84,-6,52.106,52.123,51.895,51.809,51.581,51.472,51.333,51.219,51.163,36.66
3.92,-6,52.132,52.15,51.916,51.83,51.585,51.472,51.328,51.209,51.15,36.555
4,-6,52.158,52.177,51.939,51.851,51.59,51.472,51.323,51.199,51.136,36.449
4.08,-6,52.182,52.205,51.962,51.874,51.595,51.473,51.318,51.189,51.123,36.343
4.16,-6,52.197,52.23,51.985,51.896,51.6,51.474,51.315,51.18,51.11,36.238
4.24,-6,52.212,52.245,52.009,51.92,51.606,51.475,51.311,51.171,51.097,36.132
4.32,-6,52.228,52.261,52.034,51.944,51.613,51.478,51.309,51.163,51.086,36.026
4.4,-6,52.243,52.276,52.059,51.968,51.627,51.481,51.307,51.155,51.074,35.921
4.48,-6,52.259,52.292,52.083,51.993,51.644,51.484,51.305,51.148,51.064,35.816
4.56,-6,52.275,52.308,52.098,52.019,51.662,51.488,51.305,51.142,51.054,35.71
4.64,-6,52.292,52.324,52.113,52.045,51.681,51.493,51.304,51.137,51.045,35.605
4.72,-6,52.309,52.34,52.129,52.07,51.701,51.499,51.305,51.132,51.036,35.5
4.8,-6,52.326,52.357,52.145,52.084,51.721,51.509,51.307,51.128,51.028,35.395
4.88,-6,52.343,52.374,52.162,52.099,51.742,51.527,51.309,51.124,51.021,35.29
4.96,-6,52.36,52.391,52.179,52.114,51.763,51.545,51.312,51.122,51.015,35.186
5.04,-6,52.378,52.409,52.196,52.129,51.785,51.564,51.316,51.12,51.009,35.082
5.12,-6,52.396,52.426,52.214,52.145,51.808,51.584,51.32,51.119,51.004,34.977
5.2,-6,52.413,52.444,52.232,52.162,51.831,51.604,51.326,51.118,51,34.873
5.28,-6,52.445,52.462,52.251,52.178,51.853,51.626,51.332,51.119,50.997,34.77
5.36,-6,52.477,52.481,52.27,52.195,51.867,51.648,51.339,51.12,50.995,34.666
5.44,-6,52.509,52.499,52.289,52.213,51.882,51.671,51.356,51.123,50.994,34.563
5.52,-6,52.542,52.528,52.318,52.231,51.897,51.695,51.375,51.126,50.993,34.46
5.6,-6,52.575,52.559,52.353,52.249,51.913,51.719,51.394,51.13,50.994,34.357
5.68,-6,52.608,52.591,52.389,52.267,51.929,51.744,51.415,51.135,50.995,34.255
5.76,-6,52.641,52.623,52.425,52.286,51.945,51.769,51.436,51.141,50.997,34.152
5.84,-6,52.674,52.655,52.462,52.305,51.962,51.787,51.459,51.147,51,34.05
5.92,-6,52.707,52.687,52.499,52.331,51.98,51.803,51.482,51.157,51.004,33.949
6,-6,52.74,52.72,52.537,52.366,51.998,51.82,51.506,51.175,51.009,33.847
-6,-5.92,44.932,45.034,45.126,45.307,45.516,45.694,45.922,46.164,46.327,45.351
-5.92,-5.92,45.026,45.127,45.219,45.398,45.606,45.784,46.011,46.252,46.414,45.307
-5.84,-5.92,45.12,45.221,45.312,45.49,45.697,45.873,46.099,46.34,46.501,45.262
-5.76,-5.92,45.214,45.314,45.404,45.582,45.788,45.963,46.188,46.428,46.589,45.216
-5.68,-5.92,45.309,45.408,45.498,45.674,45.879,46.053,46.277,46.516,46.676,45.169
-5.6,-5.92,45.403,45.502,45.591,45.766,45.969,46.143,46.366,46.604,46.764,45.122
-5.52,-5.92,45.498,45.596,45.684,45.858,46.061,46.233,46.455,46.692,46.851,45.073
-5.44,-5.92,45.593,45.691,45.778,45.951,46.152,46.323,46.544,46.78,46.939,45.024
-5.36,-5.92,45.688,45.785,45.871,46.043,46.243,46.413,46.633,46.868,47.026,44.974
-5.28,-5.92,45.783,45.88,45.965,46.136,46.334,46.503,46.722,46.956,47.114,44.923
-5.2,-5.92,45.878,45.974,46.059,46.229,46.425,46.594,46.811,47.044,47.202,44.872
-5.12,-5.92,45.974,46.069,46.153,46.321,46.517,46.684,46.9,47.133,47.289,44.82
-5.04,-5.92,46.069,46.164,46.247,46.414,46.608,46.774,46.989,47.221,47.376,44.767
-4.96,-5.92,46.165,46.259,46.341,46.507,46.7,46.864,47.078,47.309,47.464,44.714
-4.88,-5.92,46.261,46.354,46.435,46.6,46.791,46.954,47.167,47.396,47.551,44.661
-4.8,-5.92,46.356,46.449,46.529,46.693,46.882,47.045,47.256,47.484,47.638,44.607
-4.72,-5.92,46.452,46.544,46.623,46.785,46.973,47.135,47.345,47.572,47.725,44.552
-4.64,-5.92,46.548,46.639,46.717,46.878,47.065,47.224,47.434,47.659,47.812,44.497
-4.56,-5.92,46.644,46.734,46.811,46.971,47.156,47.314,47.522,47.747,47.899,44.442
-4.48,-5.92,46.739,46.829,46.905,47.063,47.247,47.404,47.61,47.834,47.985,44.387
-4.4,-5.92,46.835,46.923,46.999,47.156,47.338,47.493,47.699,47.921,48.071,44.331
-4.32,-5.92,46.931,47.018,47.093,47.248,47.428,47.583,47.786,48.007,48.157,44.275
-4.24,-5.92,47.026,47.113,47.186,47.34,47.519,47.672,47.874,48.094,48.243,44.219
-4.16,-5.92,47.122,47.208,47.28,47.432,47.609,47.761,47.962,48.18,48.328,44.163
-4.08,-5.92,47.217,47.302,47.373,47.524,47.699,47.849,48.049,48.266,48.413,44.106
-4,-5.92,47.312,47.396,47.467,47.616,47.789,47.938,48.136,48.351,48.498,44.05
-3.92,-5.92,47.407,47.49,47.56,47.707,47.879,48.026,48.222,48.436,48.582,43.994
-3.84,-5.92,47.502,47.584,47.652,47.799,47.968,48.113,48.308,48.521,48.666,43.937
-3.76,-5.92,47.596,47.678,47.745,47.89,48.057,48.201,48.394,48.606,48.75,43.881
-3.68,-5.92,47.691,47.772,47.837,47.98,48.146,48.288,48.479,48.689,48.833,43.825
-3.6,-5.92,47.785,47.865,47.929,48.071,48.234,48.374,48.564,48.773,48.916,43.769
-3.52,-5.92,47.879,47.958,48.021,48.161,48.322,48.461,48.649,48.856,48.998,43.714
-3.44,-5.92,47.972,48.05,48.112,48.25,48.409,48.547,48.733,48.938,49.079,43.658
-3.36,-5.92,48.066,48.142,48.203,48.339,48.496,48.632,48.816,49.02,49.16,43.603
-3.28,-5.92,48.158,48.234,48.294,48.428,48.583,48.717,48.899,49.102,49.24,43.548
-3.2,-5.92,48.251,48.326,48.384,48.516,48.669,48.801,48.982,49.182,49.32,43.493
-3.12,-5.92,48.343,48.417,48.474,48.604,48.755,48.885,49.064,49.262,49.399,43.439
-3.04,-5.92,48.435,48.507,48.563,48.692,48.84,48.968,49.145,49.342,49.478,43.385
-2.96,-5.92,48.526,48.598,48.652,48.778,48.924,49.05,49.225,49.421,49.555,43.331
-2.88,-5.92,48.616,48.687,48.74,48.865,49.008,49.132,49.305,49.499,49.632,43.278
-2.8,-5.92,48.707,48.776,48.827,48.951,49.091,49.214,49.385,49.576,49.708,43.225
-2.72,-5.92,48.796,48.865,48.915,49.036,49.174,49.294,49.463,49.652,49.784,43.173
-2.64,-5.92,48.885,48.953,49.001,49.12,49.256,49.374,49.541,49.728,49.858,43.12
-2.56,-5.92,48.974,49.04,49.087,49.204,49.337,49.453,49.618,49.803,49.932,43.077
-2.48,-5.92,49.062,49.127,49.172,49.287,49.418,49.532,49.694,49.877,50.005,43.037
-2.4,-5.92,49.149,49.213,49.257,49.37,49.497,49.609,49.769,49.95,50.077,42.997
-2.32,-5.92,49.235,49.299,49.34,49.451,49.576,49.686,49.844,50.023,50.148,42.956
-2.24,-5.92,49.321,49.383,49.424,49.532,49.655,49.762,49.917,50.094,50.218,42.914
-2.16,-5.92,49.406,49.467,49.506,49.612,49.732,49.837,49.99,50.164,50.287,42.871
-2.08,-5.92,49.491,49.551,49.587,49.692,49.809,49.911,50.062,50.234,50.355,42.827
-2,-5.92,49.574,49.633,49.668,49.77,49.884,49.985,50.132,50.302,50.422,42.783
-1.92,-5.92,49.657,49.714,49.748,49.848,49.959,50.057,50.202,50.37,50.488,42.737
-1.84,-5.92,49.739,49.795,49.827,49.925,50.033,50.129,50.271,50.436,50.553,42.691
-1.76,-5.92,49.82,49.875,49.905,50,50.106,50.199,50.339,50.502,50.617,42.644
-1.68,-5.92,49.9,49.954,49.982,50.075,50.178,50.268,50.406,50.566,50.68,42.596
-1.6,-5.92,49.979,50.032,50.059,50.149,50.249,50.337,50.471,50.629,50.741,42.548
-1.52,-5.92,50.057,50.109,50.134,50.222,50.318,50.404,50.536,50.691,50.802,42.498
-1.44,-5.92,50.135,50.185,50.208,50.294,50.387,50.471,50.599,50.752,50.861,42.441
-1.36,-5.92,50.211,50.26,50.281,50.365,50.455,50.536,50.662,50.812,50.919,42.379
-1.28,-5.92,50.286,50.334,50.354,50.435,50.522,50.6,50.723,50.87,50.976,42.315
-1.2,-5.92,50.36,50.407,50.425,50.504,50.588,50.663,50.783,50.928,51.032,42.254
-1.12,-5.92,50.433,50.479,50.495,50.572,50.652,50.725,50.842,50.984,51.086,42.198
-1.04,-5.92,50.505,50.55,50.564,50.638,50.715,50.786,50.9,51.039,51.14,42.141
-0.96,-5.92,50.576,50.62,50.631,50.704,50.778,50.845,50.957,51.093,51.192,42.083
-0.88,-5.92,50.645,50.688,50.698,50.768,50.839,50.904,51.012,51.145,51.242,42.023
-0.8,-5.92,50.714,50.756,50.763,50.831,50.899,50.961,51.066,51.196,51.292,41.961
-0.72,-5.92,50.781,50.822,50.828,50.893,50.957,51.017,51.119,51.247,51.34,41.898
-0.64,-5.92,50.847,50.887,50.89,50.954,51.015,51.072,51.171,51.295,51.387,41.833
-0.56,-5.92,50.912,50.95,50.952,51.013,51.071,51.125,51.222,51.343,51.433,41.767
-0.48,-5.92,50.975,51.013,51.013,51.072,51.126,51.178,51.271,51.389,51.477,41.698
-0.4,-5.92,51.037,51.074,51.072,51.129,51.18,51.229,51.319,51.434,51.521,41.628
-0.32,-5.92,51.098,51.134,51.13,51.184,51.232,51.279,51.366,51.478,51.562,41.556
-0.24,-5.92,51.157,51.192,51.186,51.239,51.283,51.327,51.411,51.521,51.603,41.481
-0.16,-5.92,51.216,51.25,51.241,51.292,51.333,51.375,51.456,51.562,51.642,41.405
-0.08,-5.92,51.272,51.305,51.295,51.344,51.382,51.421,51.499,51.602,51.68,41.326
0,-5.92,51.328,51.36,51.348,51.394,51.429,51.465,51.54,51.641,51.717,41.245
0.08,-5.92,51.184,51.21,51.188,51.223,51.241,51.288,51.349,51.435,51.503,41.172
0.16,-5.92,51.185,51.208,51.181,51.208,51.218,51.265,51.319,51.397,51.46,41.099
0.24,-5.92,51.204,51.226,51.195,51.218,51.221,51.267,51.313,51.385,51.443,41.158
0.32,-5.92,51.232,51.252,51.218,51.238,51.233,51.279,51.319,51.385,51.441,41.082
0.4,-5.92,51.264,51.283,51.246,51.262,51.252,51.295,51.33,51.392,51.444,41.003
0.48,-5.92,51.299,51.317,51.276,51.289,51.274,51.314,51.345,51.401,51.45,40.922
0.56,-5.92,51.34,51.351,51.307,51.317,51.297,51.335,51.361,51.413,51.459,40.84
0.64,-5.92,51.388,51.398,51.345,51.345,51.321,51.356,51.378,51.425,51.469,40.756
0.72,-5.92,51.434,51.443,51.388,51.383,51.344,51.378,51.395,51.438,51.478,40.67
0.8,-5.92,51.48,51.488,51.43,51.422,51.376,51.398,51.411,51.451,51.488,40.584
0.88,-5.92,51.526,51.532,51.47,51.459,51.409,51.422,51.427,51.462,51.497,40.496
0.96,-5.92,51.572,51.576,51.511,51.496,51.441,51.45,51.444,51.473,51.506,40.407
1.04,-5.92,51.621,51.621,51.551,51.533,51.471,51.476,51.466,51.485,51.514,40.317
1.12,-5.92,51.669,51.667,51.593,51.568,51.501,51.501,51.487,51.499,51.522,40.226
1.2,-5.92,51.69,51.713,51.635,51.605,51.531,51.525,51.506,51.514,51.531,40.134
1.28,-5.92,51.678,51.714,51.676,51.643,51.559,51.548,51.524,51.528,51.543,40.041
1.36,-5.92,51.685,51.709,51.665,51.679,51.589,51.571,51.541,51.541,51.553,39.948
1.44,-5.92,51.712,51.723,51.659,51.698,51.619,51.592,51.557,51.552,51.562,39.853
1.52,-5.92,51.737,51.748,51.673,51.682,51.647,51.616,51.573,51.562,51.569,39.757
1.6,-5.92,51.761,51.771,51.694,51.679,51.658,51.639,51.587,51.571,51.575,39.661
1.68,-5.92,51.784,51.794,51.713,51.697,51.639,51.66,51.603,51.58,51.579,39.564
1.76,-5.92,51.805,51.815,51.732,51.713,51.631,51.679,51.619,51.587,51.584,39.466
1.84,-5.92,51.825,51.835,51.748,51.728,51.642,51.653,51.633,51.594,51.587,39.367
1.92,-5.92,51.845,51.854,51.764,51.742,51.652,51.635,51.646,51.602,51.589,39.267
2,-5.92,51.863,51.872,51.779,51.755,51.66,51.639,51.637,51.61,51.592,39.167
2.08,-5.92,51.881,51.889,51.794,51.767,51.668,51.643,51.611,51.616,51.596,39.067
2.16,-5.92,51.897,51.906,51.807,51.779,51.674,51.646,51.598,51.621,51.598,38.966
2.24,-5.92,51.913,51.922,51.82,51.789,51.68,51.648,51.596,51.603,51.599,38.864
2.32,-5.92,51.929,51.937,51.831,51.799,51.684,51.649,51.594,51.573,51.6,38.762
2.4,-5.92,51.943,51.951,51.843,51.808,51.689,51.65,51.59,51.555,51.582,38.659
2.48,-5.92,51.958,51.965,51.853,51.817,51.692,51.65,51.586,51.548,51.549,38.556
2.56,-5.92,51.972,51.979,51.864,51.825,51.695,51.649,51.581,51.539,51.525,38.452
2.64,-5.92,51.985,51.992,51.874,51.833,51.698,51.648,51.576,51.53,51.513,38.348
2.72,-5.92,51.998,52.005,51.883,51.841,51.7,51.646,51.57,51.52,51.501,38.244
2.8,-5.92,52.011,52.018,51.893,51.848,51.701,51.644,51.563,51.509,51.488,38.139
2.88,-5.92,52.023,52.031,51.902,51.855,51.703,51.641,51.557,51.498,51.475,38.034
2.96,-5.92,52.036,52.043,51.911,51.862,51.704,51.639,51.55,51.487,51.461,37.929
3.04,-5.92,52.049,52.055,51.92,51.869,51.705,51.636,51.542,51.475,51.447,37.823
3.12,-5.92,52.062,52.067,51.929,51.876,51.706,51.633,51.535,51.463,51.432,37.717
3.2,-5.92,52.074,52.079,51.939,51.883,51.707,51.63,51.527,51.451,51.417,37.611
3.28,-5.92,52.087,52.092,51.949,51.89,51.708,51.627,51.52,51.439,51.402,37.505
3.36,-5.92,52.109,52.117,51.959,51.897,51.709,51.624,51.512,51.427,51.387,37.399
3.44,-5.92,52.133,52.142,51.969,51.905,51.711,51.622,51.505,51.415,51.372,37.292
3.52,-5.92,52.158,52.168,51.979,51.913,51.712,51.62,51.497,51.402,51.357,37.186
3.6,-5.92,52.183,52.194,51.99,51.921,51.714,51.617,51.49,51.39,51.342,37.079
3.68,-5.92,52.208,52.221,52.001,51.93,51.717,51.616,51.484,51.379,51.328,36.972
3.76,-5.92,52.234,52.248,52.022,51.939,51.72,51.614,51.477,51.367,51.313,36.866
3.84,-5.92,52.26,52.275,52.043,51.956,51.724,51.613,51.471,51.356,51.298,36.759
3.92,-5.92,52.286,52.303,52.065,51.977,51.729,51.613,51.466,51.345,51.284,36.652
4,-5.92,52.312,52.331,52.088,51.999,51.733,51.613,51.461,51.334,51.27,36.545
4.08,-5.92,52.336,52.359,52.111,52.021,51.738,51.613,51.456,51.324,51.257,36.438
4.16,-5.92,52.351,52.384,52.135,52.044,51.744,51.614,51.452,51.315,51.244,36.332
4.24,-5.92,52.367,52.4,52.16,52.068,51.75,51.616,51.449,51.306,51.231,36.225
4.32,-5.92,52.383,52.415,52.185,52.092,51.757,51.618,51.446,51.298,51.219,36.118
4.4,-5.92,52.399,52.431,52.21,52.117,51.771,51.621,51.444,51.29,51.208,36.012
4.48,-5.92,52.415,52.447,52.234,52.143,51.789,51.625,51.443,51.283,51.197,35.905
4.56,-5.92,52.431,52.463,52.249,52.169,51.807,51.629,51.442,51.277,51.188,35.799
4.64,-5.92,52.448,52.479,52.265,52.195,51.826,51.634,51.442,51.272,51.178,35.692
4.72,-5.92,52.465,52.496,52.281,52.221,51.846,51.639,51.443,51.267,51.17,35.586
